algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
1200455,619613,638287,277807,1000000,100000,100000,10000
1531254,352430,315482,95534,3375000,225000,225000,15000
3919234,719777,429473,110496,8000000,400000,400000,20000
717530,960468,545155,116506,15625000,625000,625000,25000
1083025,2291312,656963,132890,27000000,900000,900000,30000
1556501,187158,804959,147840,42875000,1225000,1225000,35000
2138979,220509,917941,192884,64000000,1600000,1600000,40000
2839830,314637,1143752,175776,91125000,2025000,2025000,45000
3612725,329800,1205855,141349,125000000,2500000,2500000,50000
4620673,373995,4995560,64238,166375000,3025000,3025000,55000
5908957,513915,1938182,64395,216000000,3600000,3600000,60000
7006920,560608,412534,63990,274625000,4225000,4225000,65000
9462842,522973,526865,70803,343000000,4900000,4900000,70000
11150343,601083,474076,69452,421875000,5625000,5625000,75000
12657213,682828,627567,68017,512000000,6400000,6400000,80000
14886421,758471,519734,70944,614125000,7225000,7225000,85000
18807519,937704,554558,59535,729000000,8100000,8100000,90000
20473382,921521,667635,55207,857375000,9025000,9025000,95000
23791955,1001595,639050,60265,1000000000,10000000,10000000,100000
